λ_teo (Å),Centro (Å),flujo,profundidad,Velocidad (km/s),Asimetría,Coef 0,Coef 1,Coef 2,Coef 3,Coef 4
6003.0123,6003.010361654315,0.3471493899964504,0.6528506100035496,-0.09680148911014064,-149.59340508573416,0.3486084750148735,0.6634435271258378,75.08208291953171,-93.21898653263646,-3887.897490408909
6005.5413,6005.538158539975,0.5043465431702623,0.4956534568297377,-0.15681926688303396,-135.19269045401626,0.504361040632135,-0.06607930393946641,75.30407345008503,-13.308649867834447,-5254.784758817415
6007.715,6007.704509602094,0.9043633723054755,0.09563662769452452,-0.5234831161485886,-33.837260686307225,0.9043635821980369,0.0033695182637964514,13.52241622818861,-6.215052352393367,-1154.9008103232673
6007.9601,6007.956837722895,0.5242516067092766,0.4757483932907234,-0.16278479909828233,-214.94289050396662,0.5262759011811149,-0.7512648818798363,69.47465318965763,68.50748912289788,-4843.039056038837
6008.5566,6008.555971220512,0.3339223176979651,0.6660776823020349,-0.031372436462945165,-296.4387891092326,0.33392236321646745,0.003633859355664885,72.5238451871705,-49.75153403650911,-3443.499842877266
6012.2099,6012.211874132635,0.4933593590964472,0.5066406409035529,0.09843787571759693,-373.4776181496302,0.49340263064744483,-0.11189247771255643,72.373682685598,-48.55530125973632,-4423.987382674742
6015.2443,6015.23989732634,0.7520845203014602,0.24791547969853978,-0.21942356389787507,-238.6005568945979,0.7522081391621613,-0.14896014241127925,44.90922269364982,-14.981184084557867,-3731.4207685816914
6019.3659,6019.361813823888,0.8675536979511538,0.13244630204884622,-0.203510291489528,-81.9647417156557,0.8682914756643149,-0.24842295583374438,20.841252581633423,20.46693252825097,-1437.1203971001828
6020.1692,6020.163897567562,0.41074328292079315,0.5892567170792069,-0.2640501907208398,622.4061512338985,0.41091287665386095,0.19728858795476448,57.523638957873054,79.45156198037758,-3526.1668626108667
6021.7912,6021.792077127799,0.2849347354086715,0.7150652645913285,0.043667388717371435,70.9642557381496,0.28500644798427205,-0.12112171630516125,51.12506157743176,16.59211180932496,-1006.1134401913098
6024.058,6024.059107738443,0.34853621306234545,0.6514637869376545,0.05512747775824537,-121.21943952580352,0.3504798866611653,0.7068339679464853,63.90906317548681,-78.84381643956598,-2671.2702492944895
6027.0509,6027.05005321698,0.44942627816062114,0.5505737218393789,-0.04211989900657232,-225.16817271659818,0.44943051166254666,-0.03382859433776396,67.5871515785235,-33.905827473313266,-3617.7458756198002
6034.0355,6034.028660218279,0.8705594510829539,0.12944054891704615,-0.3398242920159756,-83.1392566697742,0.8708599363141323,0.15784003371408387,20.609944280521503,-36.67592881252083,-1501.7927990697754
6054.0741,6054.067171544978,0.8647609915580885,0.1352390084419115,-0.3430905128659747,-124.00293610869683,0.8649289589150823,-0.125738469595332,23.545620920017505,-0.10809839395235497,-1922.6490696720218
6056.0047,6056.001606115235,0.48246616451009766,0.5175338354899024,-0.1531573946284701,-121.6575261346564,0.48386727063433116,-0.6207629350851245,68.58995985755928,56.2882024984583,-4242.7582531974485
6060.6243,6060.618932116268,0.8370030835062381,0.1629969164937619,-0.26552521987140393,-166.45427039559303,0.8370270342981839,0.05343734594144452,29.77572626446344,-36.426263829896264,-2423.0276820924273
6062.8484,6062.845145101545,0.4718261464630304,0.5281738535369696,-0.16094621753766947,-263.95391709337775,0.472575251922921,-0.47243642481488557,74.47182524491244,21.279630663097397,-5144.367220411435
6078.4911,6078.4903080311815,0.49207392871949557,0.5079260712805045,-0.03906000883946636,-138.13990871500482,0.49325401782450257,0.5374918081627847,60.91928432826907,-78.40627518320879,-3158.8554477395182
6079.0093,6079.004878527591,0.6149160370733333,0.3850839629266667,-0.21804902589622266,-144.72283511004892,0.6149177446299186,-0.019366719018094756,54.91717629931648,-21.7808314367045,-3316.8374848196677
6082.7106,6082.710181352731,0.40019288691050986,0.5998071130894902,-0.02063341666880955,-205.4877557540977,0.4006095410078447,0.34247954784587104,70.23206078549411,-68.30479417496477,-3502.3325883565067
6085.259,6085.235052311048,0.26690754995214605,0.733092450047854,-1.1797896467963487,-129.5490591067785,0.2670157331487264,0.157784904621086,57.496183079883174,-27.84422533069701,-1140.2817135815562
6093.6444,6093.638492009342,0.7039929170960216,0.29600708290397837,-0.29065830216010496,-128.80957506001403,0.704667642662388,0.3448568785374439,43.85384114080104,-64.7672559635764,-2771.5775990745956
6094.3736,6094.367959402859,0.7981655221488959,0.2018344778511041,-0.2774700090685851,-118.27918280310871,0.7997737176903786,-0.45243487508803426,31.625673037834915,43.235975113463034,-2216.5930485721574
6096.6653,6096.661056804117,0.5853456384744179,0.4146543615255821,-0.20865114246592026,-140.99631633215512,0.5853504393086776,0.03369707771204669,59.12241755053974,-27.58236817134072,-3582.5291991449326
6098.2447,6098.23951178451,0.801170261929554,0.19882973807044602,-0.25505462223745906,-216.76302933044414,0.8017664398312235,-0.2672205594229919,29.981300804100705,0.7732207079523821,-2064.7196927926334
